elapsed_ms,target_failure_ratio,observed_failure_ratio,rps
2806,0.8,0.8,1.0
2823,0.8,0.8,1.0
2840,0.8,0.8,1.0
2856,0.8,0.8,1.0
2873,0.8,0.8,1.0
2890,0.8,0.8,1.0
2906,0.8,0.8,1.0
2922,0.0,0.8,1.0
2937,0.0,0.6,1.0
2952,0.0,0.6,1.0
2968,0.0,0.26666666666666666,1.0
2984,0.0,0.26666666666666666,1.0
3000,0.0,0.2,1.0
3015,0.0,0.16,1.0
3033,0.0,0.16,3.0
3050,0.0,0.0,3.0
3065,0.0,0.0,3.0
3081,0.0,0.0,3.0
3097,0.0,0.0,3.0
3113,0.0,0.0,3.0
3131,0.0,0.0,3.0
3147,0.0,0.0,3.0
3164,0.0,0.0,3.0
3182,0.0,0.0,3.0
3201,0.0,0.0,3.0
3217,0.0,0.0,3.0
3236,0.0,0.0,3.0
3255,0.0,0.0,3.0
3271,0.0,0.0,3.0
3287,0.0,0.0,3.0
3306,0.0,0.0,3.0
