elapsed_ms,aimd_rps,admitted_rps,backend_capacity_rps,observed_failure_ratio
400,50.0,22.459068347935887,200.0,0.0
469,50.0,507.68968555876694,200.0,0.0
541,50.0,55.5867265845257,200.0,0.0
596,50.0,55.144819578925556,200.0,0.0
646,50.0,39.31335993183535,200.0,0.5
703,50.0,53.14488487834755,200.0,0.5
761,50.0,51.5596439985322,200.0,0.0
812,70.0,38.94330534302733,200.0,0.0
866,70.0,74.57266414459431,200.0,0.0
918,80.0,57.90597517281315,200.0,0.0
999,90.0,61.53120426424044,200.0,0.0
1049,100.0,139.7974083917069,200.0,0.0
1099,100.0,99.69659136955322,200.0,0.0
1154,110.0,110.11859791348381,200.0,0.0
1204,120.0,99.90708640963904,200.0,0.0
1254,130.0,119.57540924534345,200.0,0.0
1304,130.0,119.58414613182657,200.0,0.0
1354,140.0,139.2799227991285,200.0,0.0
1405,150.0,139.25948767429196,200.0,0.0
1455,150.0,139.76763630464353,200.0,0.0
1506,160.0,156.4082136287509,200.0,0.0
1556,170.0,139.70557051014987,200.0,0.0
1606,170.0,178.80039951161268,200.0,0.0
1657,180.0,158.68109667600194,200.0,0.0
1707,180.0,178.21620195570895,200.0,0.0
1757,190.0,179.61263661112625,200.0,0.0
1808,200.0,199.6883184849759,200.0,0.0
1858,200.0,199.23179804844884,200.0,0.0
1908,210.0,199.24469523949833,200.0,0.0
1958,220.0,199.30492407728048,200.0,0.0
2008,220.0,219.358923545937,200.0,0.0
2058,230.0,219.54572476813877,200.0,0.0
2108,230.0,239.8746654872829,200.0,0.0
2159,240.0,217.90502189658233,200.0,0.0
2209,250.0,237.80192074989407,200.0,0.0
2259,250.0,259.4025078276203,200.0,0.06666666666666667
2310,260.0,259.1609663713727,200.0,0.13513513513513514
2367,270.0,262.06003788479677,200.0,0.23684210526315788
2418,270.0,255.34736168525802,200.0,0.23076923076923078
2470,280.0,289.6202478071934,200.0,0.2647058823529412
2520,290.0,276.8962259004853,200.0,0.2682926829268293
2570,290.0,279.50760263673897,200.0,0.2857142857142857
2620,300.0,299.5489272433998,200.0,0.27586206896551724
2670,160.0,179.76226440532395,200.0,0.3125
2721,160.0,159.3170619233357,200.0,0.19230769230769232
2771,170.0,139.87492663809874,200.0,0.15151515151515152
2821,170.0,179.0284733448385,200.0,0.0
2871,180.0,159.64717973279053,200.0,0.0
2921,190.0,179.8492252005454,200.0,0.0
2971,190.0,179.4036336172748,200.0,0.0
3021,200.0,199.15111835799905,200.0,0.0
3071,200.0,199.48565814817024,200.0,0.0
3122,210.0,197.35625118327408,200.0,0.0
3172,220.0,199.3459777423837,200.0,0.0
3222,220.0,219.4918763063508,200.0,0.0
3273,230.0,218.08088818398096,200.0,0.0
3324,240.0,232.74608199609557,200.0,0.0
3378,240.0,244.08122279585692,200.0,0.0
3434,250.0,232.71616588445093,200.0,0.041666666666666664
3485,260.0,254.65458632322301,200.0,0.1
3535,260.0,257.2192439091769,200.0,0.1388888888888889
3585,270.0,239.40985470814442,200.0,0.1891891891891892
3636,280.0,256.9449248436095,200.0,0.25
3686,280.0,279.03917881480345,200.0,0.21212121212121213
3737,290.0,277.15683099433755,200.0,0.2647058823529412
3787,290.0,296.09499848764546,200.0,0.2777777777777778
3837,150.0,299.57011688227396,200.0,0.3055555555555556
3888,160.0,118.4575851066911,200.0,0.23809523809523808
3938,160.0,159.3780272486621,200.0,0.0
3988,170.0,159.56889590531054,200.0,0.0
4045,170.0,157.58613066954408,200.0,0.0
4095,180.0,179.87783417014498,200.0,0.0
4145,190.0,179.72113390536438,200.0,0.0
4196,200.0,199.72720459487613,200.0,0.0
4246,200.0,199.49096687945237,200.0,0.0
4296,210.0,199.44338542222823,200.0,0.0
4346,210.0,219.74454696415415,200.0,0.0
4396,220.0,198.93717812586257,200.0,0.0
4447,230.0,218.4452161738824,200.0,0.0
4497,230.0,219.35928662126514,200.0,0.0
4547,240.0,238.9771776795316,200.0,0.0
4597,250.0,239.36608201767098,200.0,0.0
4647,250.0,239.4363237952477,200.0,0.08333333333333333
4697,260.0,259.06413082738607,200.0,0.13333333333333333
4747,260.0,259.6909677483794,200.0,0.1935483870967742
4798,270.0,239.02160807124977,200.0,0.21875
4848,280.0,276.79220531006473,200.0,0.21875
4898,280.0,279.922556625484,200.0,0.25
4948,290.0,279.2084440610868,200.0,0.2857142857142857
4999,300.0,277.97863388710846,200.0,0.2857142857142857
5049,150.0,179.20715528771916,200.0,0.2727272727272727
5099,160.0,139.68164318611593,200.0,0.21875
5149,170.0,159.6787805842499,200.0,0.11538461538461539
5199,170.0,159.53548372275412,200.0,0.0
5249,180.0,159.60643924996864,200.0,0.0
5300,180.0,179.34776955342045,200.0,0.0
