elapsed_ms,target_failure_ratio,observed_failure_ratio,rps
3158,0.0,0.0,10.0
3174,0.0,0.0,10.0
3190,0.0,0.0,10.0
3206,0.0,0.0,10.0
3225,0.0,0.0,10.0
3242,0.0,0.0,10.0
3257,0.0,0.0,10.0
3273,0.0,0.0,10.0
3291,0.0,0.0,10.0
3307,0.0,0.0,10.0
3324,0.0,0.0,10.0
3343,0.0,0.0,10.0
3359,0.0,0.0,10.0
3376,0.0,0.0,10.0
3391,0.0,0.0,10.0
3408,0.0,0.0,10.0
3424,0.0,0.0,10.0
3442,0.0,0.0,10.0
3460,0.0,0.0,10.0
3475,0.0,0.0,10.0
3494,0.0,0.0,10.0
3511,0.0,0.0,10.0
3527,0.0,0.0,10.0
3543,0.0,0.0,10.0
3561,0.0,0.0,10.0
3577,0.0,0.0,10.0
3593,0.0,0.0,10.0
3610,0.0,0.0,10.0
3625,0.0,0.0,10.0
3642,0.0,0.0,10.0
3658,0.0,0.0,10.0
3673,0.0,0.0,10.0
3691,0.0,0.0,10.0
3708,0.0,0.0,10.0
