elapsed_ms,aimd_rps,admitted_rps,backend_capacity_rps,observed_failure_ratio
303,50.0,0.0,500.0,0.0
432,50.0,342.31177706864605,500.0,0.0
507,50.0,66.29665794702083,500.0,0.0
558,50.0,39.449709687613925,500.0,0.0
613,50.0,54.21580568925123,500.0,0.20754716981132076
672,50.0,50.68926844825365,500.0,0.19642857142857142
741,60.0,29.20132535471361,500.0,0.0
815,70.0,80.87620416917372,500.0,0.0
871,90.0,53.464816862418296,500.0,0.0
922,90.0,98.68851256634385,500.0,0.0
1008,100.0,69.29199963926585,500.0,0.0
1066,110.0,121.8118637690223,500.0,0.0
1119,120.0,111.92211533991829,500.0,0.0
1171,120.0,117.30004618689318,500.0,0.0
1222,130.0,117.5538017790945,500.0,0.0
1273,140.0,115.95220589215772,500.0,0.0
1327,140.0,131.22324358063392,500.0,0.0
1385,140.0,85.10734777010408,500.0,0.0
1453,160.0,162.32328896496767,500.0,0.0
1506,170.0,188.46885003808768,500.0,0.0
1556,170.0,179.61711379087427,130.0,0.0
1607,180.0,159.2877194763265,130.0,0.0
1657,190.0,179.42568708375484,130.0,0.0
1707,190.0,179.10967803025366,130.0,0.0
1757,200.0,178.87576581187238,130.0,0.07142857142857142
1808,200.0,198.81934314184707,130.0,0.20833333333333334
1858,105.0,159.527002437772,130.0,0.3157894736842105
1908,115.0,99.48706063330438,130.0,0.2916666666666667
1959,115.0,118.65641543794322,130.0,0.2
2009,125.0,118.81541035872353,130.0,0.0
2060,135.0,98.97233657870883,130.0,0.0
2110,135.0,139.66097298807145,130.0,0.0
2161,145.0,116.10974305881443,130.0,0.0
2212,145.0,139.8779564829686,130.0,0.0
2262,155.0,139.7989216190784,130.0,0.0
2312,165.0,159.78043611590695,130.0,0.0
2362,165.0,179.48010715281472,130.0,0.0
2415,175.0,150.549977887972,130.0,0.047619047619047616
2468,185.0,170.3878521640024,130.0,0.1
2524,185.0,178.10985370501893,130.0,0.22727272727272727
2575,195.0,176.81207822952172,130.0,0.23809523809523808
2625,107.5,139.40936989892404,130.0,0.30434782608695654
2675,107.5,119.68870881855635,130.0,0.22727272727272727
2725,117.5,99.27898636154924,130.0,0.15789473684210525
2776,117.5,119.96261245220315,130.0,0.0
2826,127.5,119.45102221406769,130.0,0.0
2876,137.5,119.2394502449248,130.0,0.0
2927,137.5,138.47698579756295,130.0,0.0
2977,147.5,139.617331233861,130.0,0.0
3027,157.5,119.1059124115368,130.0,0.0
3077,157.5,159.60683410128493,130.0,0.0
3128,167.5,177.41768558629153,130.0,0.0
3178,177.5,159.56916325920017,130.0,0.0
3228,177.5,159.5468868413705,130.0,0.047619047619047616
3278,187.5,179.3553681101532,130.0,0.15
3329,187.5,179.08205404409858,130.0,0.2727272727272727
3379,197.5,197.48876446921182,130.0,0.25925925925925924
3432,108.75,132.35808617997603,130.0,0.3333333333333333
3486,108.75,111.92167899978281,130.0,0.2857142857142857
3541,118.75,107.7981486135101,130.0,0.0
3592,128.75,99.90874934287517,130.0,0.0
3642,128.75,139.44674503905753,130.0,0.0
3692,138.75,119.89998422915541,130.0,0.0
3743,148.75,116.96989487330698,130.0,0.0
3794,148.75,158.0232617352321,130.0,0.0
3845,158.75,137.1156569783094,130.0,0.0
3896,158.75,156.93723797366405,130.0,0.0
3946,168.75,159.15106276703062,130.0,0.0
3996,178.75,158.49744422871183,130.0,0.0
4047,178.75,178.6730559622077,130.0,0.09523809523809523
4097,188.75,179.14740525187338,130.0,0.18181818181818182
4148,198.75,178.11730013754615,130.0,0.2727272727272727
4198,198.75,199.6559289445313,130.0,0.2857142857142857
4248,109.375,119.59119662891551,130.0,0.3076923076923077
4298,119.375,99.71406990454871,130.0,0.23529411764705882
4348,119.375,119.4503301935615,130.0,0.11764705882352941
4398,129.375,99.84299688739456,130.0,0.0
4449,129.375,139.34461489896114,130.0,0.0
4499,139.375,119.65171300770864,130.0,0.0
4549,149.375,139.39953649654115,130.0,0.0
4599,149.375,159.7080026645683,130.0,0.0
4649,159.375,159.75610355182948,130.0,0.0
4699,169.375,159.23025546822572,130.0,0.0
4749,169.375,159.41349225583204,130.0,0.0
4800,179.375,178.98871376721524,130.0,0.1
4852,179.375,172.24262287238494,130.0,0.22727272727272727
4902,189.375,178.31727691924172,130.0,0.22580645161290322
4953,199.375,199.74283110495236,130.0,0.2608695652173913
5003,199.375,199.67220612609106,130.0,0.2857142857142857
5053,109.6875,119.87492969085633,130.0,0.3181818181818182
5103,119.6875,98.46210463378812,130.0,0.2222222222222222
5154,119.6875,119.3717061242878,130.0,0.15789473684210525
5204,129.6875,119.86634902084175,130.0,0.0
5254,129.6875,119.4282373138599,130.0,0.0
5304,139.6875,139.24367569646654,130.0,0.0
5354,149.6875,139.4769613947696,130.0,0.0
5405,149.6875,159.53376257886327,130.0,0.0
5455,159.6875,139.4293852409016,130.0,0.0
5505,169.6875,139.65377594482862,130.0,0.0
5555,169.6875,159.75490721644667,130.0,0.0
5605,179.6875,159.6851551669635,130.0,0.08695652173913043
5655,179.6875,179.91783871977023,130.0,0.125
5705,189.6875,179.4143592368662,130.0,0.2
5755,99.84375,159.83976063995843,130.0,0.3333333333333333
5805,99.84375,99.95818549184506,130.0,0.21052631578947367
5855,109.84375,99.8835517600161,130.0,0.13333333333333333
5906,119.84375,99.89012086704625,130.0,0.0
5956,119.84375,119.5417558057994,130.0,0.0
6006,129.84375,99.94161810436816,130.0,0.0
6056,129.84375,139.67339611093797,130.0,0.0
6106,139.84375,119.5872255570338,130.0,0.0
6156,149.84375,139.65156933451038,130.0,0.0
6206,149.84375,159.64545299217684,130.0,0.0
6256,159.84375,159.32684408374618,130.0,0.0
6307,169.84375,159.33028383136593,130.0,0.0
6357,169.84375,158.8780540234636,130.0,0.0
6407,179.84375,179.76346363927416,130.0,0.04
6457,189.84375,179.69317390555625,130.0,0.15384615384615385
6507,189.84375,179.58336658951234,130.0,0.23076923076923078
6558,104.921875,99.08535890559983,130.0,0.3
6608,104.921875,99.90068273724994,130.0,0.19047619047619047
6658,114.921875,99.77533786723112,130.0,0.11764705882352941
6708,124.921875,119.80770862765262,130.0,0.0
6758,124.921875,119.24952458195787,130.0,0.0
