elapsed_ms,offered_rps,admitted_rps,accepted_rps,capacity_rps,rejection_probability,failure_ratio
184,124.95172856672984,119.51904471600245,119.51904471600245,1200.0,0.0,0.0
257,313.5868297458159,313.5868297458159,313.5868297458159,1200.0,0.0,0.0
325,335.4356837734636,350.01984393752724,335.4356837734636,1200.0,0.0,0.0
377,465.8739200751362,465.8739200751362,485.28533341160016,1200.0,0.0,0.0
427,698.2619143732188,698.2619143732188,698.2619143732188,1200.0,0.0,0.0
477,798.4124845205284,798.4124845205284,798.4124845205284,1200.0,0.0,0.0
529,618.7924362293303,618.7924362293303,618.7924362293303,1200.0,0.0,0.0
580,786.2504453371663,786.2504453371663,786.2504453371663,1200.0,0.0,0.0
640,247.74415322559668,214.71159946218378,214.71159946218378,1200.0,0.0,0.0
697,549.6819380721236,585.1452889154864,567.413613493805,1200.0,0.0,0.0
750,618.7954389225744,618.7954389225744,637.5468158596221,1200.0,0.0,0.0
802,729.0698250892419,729.0698250892419,729.0698250892419,1200.0,0.0,0.0
853,795.2530075574086,795.2530075574086,795.2530075574086,1200.0,0.0,0.0
904,626.1123031811084,626.1123031811084,626.1123031811084,1200.0,0.0,0.0
955,779.79423686441,779.79423686441,779.79423686441,1200.0,0.0,0.0
1006,705.3389376952956,705.3389376952956,705.3389376952956,1200.0,0.0,0.0
1056,713.261462334594,713.261462334594,713.261462334594,1200.0,0.0,0.0
1108,760.172170810219,760.172170810219,760.172170810219,1200.0,0.0,0.0
1159,640.9390121669259,640.9390121669259,640.9390121669259,1200.0,0.0,0.0
1213,730.863437192276,730.863437192276,730.863437192276,1200.0,0.0,0.0
1263,798.8004732812924,798.8004732812924,798.8004732812924,1200.0,0.0,0.0
1313,636.8058835769195,636.8058835769195,636.8058835769195,1200.0,0.0,0.0
1365,618.0609022920461,618.0609022920461,618.0609022920461,1200.0,0.0,0.0
1416,599.4798062326562,599.4798062326562,599.4798062326562,1200.0,0.0,0.0
1467,655.3139547597458,655.3139547597458,655.3139547597458,1200.0,0.0,0.0
1517,792.204062418471,792.204062418471,792.204062418471,1200.0,0.0,0.0
1568,596.7892737074538,596.7892737074538,596.7892737074538,540.0,0.0,0.0
1618,675.7915083815539,675.7915083815539,536.6579625382928,540.0,0.0,0.09722222222222222
1668,674.1795784779432,674.1795784779432,495.7202782926053,540.0,0.0,0.21875
1719,752.7826959030297,752.7826959030297,594.3021283444971,540.0,0.0,0.2375
1770,766.190067630615,766.190067630615,550.0851767604415,540.0,0.0,0.26582278481012656
1820,794.2502792633622,794.2502792633622,555.9751954843535,540.0,0.0,0.28169014084507044
1872,631.8102080426568,631.8102080426568,478.64409700201264,540.0,0.0,0.2716049382716049
1923,763.3874224640607,763.3874224640607,567.6470577296863,540.0,0.0,0.2625
1975,771.3687214804494,771.3687214804494,539.9581050363146,540.0,0.0,0.2777777777777778
2028,753.3435505552377,753.3435505552377,602.6748404441902,540.0,0.0,0.234375
2080,615.7413309152658,615.7413309152658,442.5640815953473,540.0,0.0,0.2361111111111111
2130,796.1235470695509,796.1235470695509,597.0926603021632,540.0,0.0,0.2375
2181,798.3401072158788,798.3401072158788,558.8380750511152,540.0,0.0,0.2777777777777778
2231,638.197093211677,638.197093211677,478.64781990875775,540.0,0.0,0.2716049382716049
2281,788.5677392009344,788.5677392009344,551.9974174406541,540.0,0.0,0.2875
2332,794.3331005672571,794.3331005672571,556.03317039708,540.0,0.0,0.3055555555555556
2382,793.1694939953401,793.1694939953401,575.0478831466215,540.0,0.0,0.2840909090909091
2439,702.011482275307,702.011482275307,491.4080375927149,540.0,0.0,0.2875
2495,715.4099298898268,715.4099298898268,518.6721991701245,540.0,0.0,0.2875
2547,774.5270897336299,774.5270897336299,600.2584945435632,540.0,0.0,0.25
2602,578.7678123707097,578.7678123707097,470.2488475512017,540.0,0.0,0.225
2654,776.850507432925,776.850507432925,543.7953552030475,540.0,0.0,0.25
2704,794.0728969639397,794.0728969639397,615.4064951470532,540.0,0.0,0.23958333333333334
2756,635.6319924214175,635.6319924214175,462.2778126701218,540.0,0.0,0.2625
2807,769.6944380182633,769.6944380182633,552.6011349874711,540.0,0.0,0.2777777777777778
2857,784.7695842928368,784.7695842928368,568.9579486123067,540.0,0.0,0.2777777777777778
2908,635.3513375753889,635.3513375753889,476.5135031815417,540.0,0.0,0.2625
2959,783.321779010709,783.321779010709,567.908289782764,540.0,0.0,0.2638888888888889
3010,779.5137245278788,779.5137245278788,565.1474502827122,540.0,0.0,0.2777777777777778
3061,789.0720154071045,789.0720154071045,552.3504107849732,540.0,0.0,0.3181818181818182
3112,787.6037781195715,787.6037781195715,551.3226446837001,540.0,0.0,0.29545454545454547
