elapsed_ms,offered_rps,admitted_rps,accepted_rps,capacity_rps,rejection_probability,failure_ratio
135,81.14530429975984,88.52215014519255,110.65268768149069,1200.0,0.0,0.0
244,292.743954126071,283.59570555963126,256.1509598603121,1200.0,0.0,0.0
326,357.2117743800177,357.2117743800177,357.2117743800177,1200.0,0.0,0.0
377,408.722329133387,408.722329133387,408.722329133387,1200.0,0.0,0.0
427,716.6371800326966,716.6371800326966,716.6371800326966,1200.0,0.0,0.0
477,798.2047098946932,798.2047098946932,798.2047098946932,1200.0,0.0,0.0
529,619.6721748293501,619.6721748293501,619.6721748293501,1200.0,0.0,0.0
580,784.8292505861693,784.8292505861693,784.8292505861693,1200.0,0.0,0.0
638,274.8965705948396,274.8965705948396,274.8965705948396,1200.0,0.0,0.0
696,557.0824547316104,557.0824547316104,557.0824547316104,1200.0,0.0,0.0
749,594.0957097471148,594.0957097471148,594.0957097471148,1200.0,0.0,0.0
802,757.0094342300741,757.0094342300741,757.0094342300741,1200.0,0.0,0.0
853,795.795557415595,795.795557415595,795.795557415595,1200.0,0.0,0.0
904,673.8290329018972,673.8290329018972,635.3245167360745,1200.0,0.0,0.0
955,731.0639711402816,731.0639711402816,770.5809425532698,1200.0,0.0,0.0
1006,688.2724026423446,688.2724026423446,688.2724026423446,1200.0,0.0,0.0
1056,732.445440535051,732.445440535051,732.445440535051,1200.0,0.0,0.0
1108,779.546006827225,779.546006827225,779.546006827225,1200.0,0.0,0.0
1159,621.9469571371454,621.9469571371454,621.9469571371454,1200.0,0.0,0.0
1212,755.1485841681439,755.1485841681439,755.1485841681439,1200.0,0.0,0.0
1262,656.0842660316725,656.0842660316725,656.0842660316725,1200.0,0.0,0.0
1313,770.8716006020151,770.8716006020151,770.8716006020151,1200.0,0.0,0.0
1366,619.5927390640379,600.8172015166429,600.8172015166429,1200.0,0.0,0.0
1417,613.153127497301,632.9322606423752,632.9322606423752,1200.0,0.0,0.0
1467,637.9860820943743,637.9860820943743,637.9860820943743,1200.0,0.0,0.0
1517,798.718727366308,798.718727366308,798.718727366308,1200.0,0.0,0.0
1568,594.410072571922,594.410072571922,594.410072571922,540.0,0.0,0.0
1618,678.5450772163343,678.5450772163343,518.8874119889615,540.0,0.0,0.09090909090909091
1668,673.393457994439,673.393457994439,495.14224852532277,540.0,0.0,0.20833333333333334
1719,751.509193617385,751.509193617385,593.2967318031987,540.0,0.0,0.234375
1770,785.8250210890878,785.8250210890878,550.0775147623615,540.0,0.0,0.296875
