elapsed_ms,offered_rps,admitted_rps,accepted_rps,capacity_rps,rejection_probability,failure_ratio
134,44.77156707013933,52.233494915162545,52.233494915162545,1200.0,0.0,0.0
244,243.66664147273923,234.64195104782294,234.64195104782294,1200.0,0.0,0.0
326,320.0203473860258,320.0203473860258,320.0203473860258,1200.0,0.0,0.0
377,505.2099778970634,505.2099778970634,485.7788249010225,1200.0,0.0,0.0
427,678.4909276184283,678.4909276184283,698.4465431366173,1200.0,0.0,0.0
477,798.2650985307591,798.2650985307591,798.2650985307591,1200.0,0.0,0.0
529,619.5651910850378,619.5651910850378,619.5651910850378,1200.0,0.0,0.0
580,785.3974970363516,785.3974970363516,785.3974970363516,1200.0,0.0,0.0
638,275.2982249751203,275.2982249751203,275.2982249751203,1200.0,0.0,0.0
695,561.335390229926,561.335390229926,561.335390229926,1200.0,0.0,0.0
750,619.2124353592301,619.2124353592301,619.2124353592301,1200.0,0.0,0.0
802,725.1072309563084,725.1072309563084,725.1072309563084,1200.0,0.0,0.0
853,795.1746101065062,795.1746101065062,795.1746101065062,1200.0,0.0,0.0
904,624.4867133914131,624.4867133914131,624.4867133914131,1200.0,0.0,0.0
955,781.3053170268403,781.3053170268403,781.3053170268403,1200.0,0.0,0.0
1006,728.7475260498682,728.7475260498682,728.7475260498682,1200.0,0.0,0.0
1057,683.281802497395,683.281802497395,683.281802497395,1200.0,0.0,0.0
1108,787.1949671162095,787.1949671162095,787.1949671162095,1200.0,0.0,0.0
1162,612.7778100156676,612.7778100156676,612.7778100156676,1200.0,0.0,0.0
1213,766.5967006307008,766.5967006307008,766.5967006307008,1200.0,0.0,0.0
1263,798.1396641452237,778.1861725415931,778.1861725415931,1200.0,0.0,0.0
1313,637.880641568389,657.8144116174012,657.8144116174012,1200.0,0.0,0.0
1365,618.8258464140387,618.8258464140387,618.8258464140387,1200.0,0.0,0.0
1416,560.469953669621,560.469953669621,560.469953669621,1200.0,0.0,0.0
1467,694.6161414263867,694.6161414263867,694.6161414263867,1200.0,0.0,0.0
1517,792.930375499514,792.930375499514,792.930375499514,1200.0,0.0,0.0
1567,576.3235284736315,536.5770782340708,536.5770782340708,130.0,0.0,0.0
1618,694.5259823459829,535.7771863811869,198.43599495599514,130.0,0.4153846153846154,0.421875
1671,718.4468313895093,264.69093788034553,94.53247781440912,130.0,0.75,0.7631578947368421
1721,691.9543013609259,158.16098316821163,177.93110606423807,130.0,0.7972972972972973,0.8082191780821918
1771,798.9733192847192,59.922998946353935,39.94866596423596,130.0,0.8472222222222222,0.8591549295774648
1821,778.7196602833485,79.86868310598446,79.86868310598446,130.0,0.9014084507042254,0.9142857142857143
1873,684.5603036897272,117.35319491823896,117.35319491823896,130.0,0.8690476190476191,0.8795180722891566
1923,728.0878851666084,196.78050950448878,196.78050950448878,130.0,0.7901234567901234,0.8
1975,771.8071654461469,135.06625395307572,135.06625395307572,130.0,0.7808219178082192,0.7916666666666666
2029,740.2672164779337,129.5467628836384,129.5467628836384,130.0,0.8,0.8125
2080,628.4789377951777,117.83980083659581,117.83980083659581,130.0,0.8082191780821918,0.8194444444444444
2131,793.755131502901,59.531634862717574,59.531634862717574,130.0,0.8518518518518519,0.8625
2181,798.1244076420412,79.81244076420411,79.81244076420411,130.0,0.9178082191780822,0.9305555555555556
2231,659.4015930543031,59.94559936857301,59.94559936857301,130.0,0.8939393939393939,0.9076923076923077
2281,768.6193151314163,98.54093783736106,98.54093783736106,130.0,0.8795180722891566,0.8902439024390244
2332,787.6599830960291,118.14899746440436,118.14899746440436,130.0,0.8518518518518519,0.8625
2384,771.162382698972,57.8371787024229,57.8371787024229,130.0,0.8767123287671232,0.8888888888888888
2439,727.7766663010802,72.77766663010802,72.77766663010802,130.0,0.898876404494382,0.9375
2494,726.8085608963366,90.85107011204208,90.85107011204208,130.0,0.8765432098765432,0.875
2545,786.3876301225781,39.319381506128906,39.319381506128906,130.0,0.9012345679012346,0.9125
2603,555.2876292744306,69.41095365930383,69.41095365930383,130.0,0.9041095890410958,0.9166666666666666
2654,784.4636964909959,117.66955447364937,117.66955447364937,130.0,0.8493150684931506,0.8611111111111112
2704,786.9729688753962,98.37162110942452,98.37162110942452,130.0,0.8333333333333334,0.8888888888888888
2755,627.1655831597261,176.39032026367295,176.39032026367295,130.0,0.8024691358024691,0.8125
2807,783.1224120373902,117.46836180560854,117.46836180560854,130.0,0.7808219178082192,0.7916666666666666
2858,784.6958108052887,78.46958108052887,78.46958108052887,130.0,0.8513513513513513,0.863013698630137
2908,635.4123230277397,158.85308075693493,158.85308075693493,130.0,0.8202247191011236,0.8295454545454546
2960,772.8155633925924,154.56311267851848,154.56311267851848,130.0,0.7901234567901234,0.8
3010,791.038201647424,118.65573024711361,118.65573024711361,130.0,0.7945205479452054,0.8055555555555556
3061,789.1900690294689,157.83801380589378,157.83801380589378,130.0,0.8181818181818182,0.8307692307692308
3112,781.345379074594,156.2690758149188,156.2690758149188,130.0,0.7865168539325843,0.7954545454545454
3162,756.2270621904022,119.40427297743193,99.50356081452661,130.0,0.8095238095238095,0.8192771084337349
3231,610.9461120218572,43.63900800156122,43.63900800156122,130.0,0.8767123287671232,0.8888888888888888
3287,711.0731872077934,177.76829680194834,177.76829680194834,130.0,0.821917808219178,0.8333333333333334
3343,717.2507777688122,53.79380833266091,53.79380833266091,130.0,0.821917808219178,0.8333333333333334
3393,796.4888223944621,119.47332335916931,119.47332335916931,130.0,0.8426966292134831,0.8522727272727273
3444,628.4203002222997,39.27626876389373,39.27626876389373,130.0,0.8767123287671232,0.8888888888888888
3496,757.9775976028317,97.17661507728612,97.17661507728612,130.0,0.8765432098765432,0.8875
3548,627.6289928306321,19.019060388807034,19.019060388807034,130.0,0.9041095890410958,0.9166666666666666
